#Tele  #Face  #Strip  #slope  #offset
7  0  27  0.000848  -1.61332
7  0  28  0.00086  -1.61803
7  0  29  0.000857  -1.62678
7  0  30  0.000837  -1.57536
7  0  31  0.000845  -1.5078
7  1  0  1  0
7  1  1  0.00155  -0.167159
7  1  2  0.006291  -20.6559
7  1  3  0.001495  -0.038824
7  1  4  1  0
7  1  5  0.001498  0.119056
7  1  6  0.001516  -1.05153
7  1  7  0.001498  -0.081853
7  1  8  0.003568  -9.674
7  1  9  0.001499  -0.110856
7  1  10  0.001496  -0.955687
7  1  11  0.001494  -0.090218
7  1  12  0.001519  -0.909452
7  1  13  0.001492  -0.03336
7  1  14  0.001533  -1.06749
7  1  15  0.0015  0.008117
7  1  16  0.00153  -1.26088
7  1  17  0.001505  -0.045894
7  1  18  0.001518  -1.10254
7  1  19  0.001503  -0.019036
7  1  20  0.001516  -1.05529
7  1  21  0.001485  -0.034943
7  1  22  0.001525  -1.14775
7  1  23  0.001492  0.232899
7  1  24  0.001506  -1.01586
7  1  25  0.001496  0.043864
7  1  26  0.001521  -1.19632
7  1  27  0.001493  -0.108041
7  1  28  0.001503  -0.985023
7  1  29  0.001489  -0.040439
7  1  30  0.001513  -1.11585
7  1  31  0.00149  0.075648
7  2  0  0.001562  -0.295198
7  2  1  0.001579  -0.187903
7  2  2  0.001545  -0.169498
7  2  3  0.001606  -0.390522
7  2  4  0.001531  -0.079324
7  2  5  0.001579  -0.305638
7  2  6  0.001534  -0.248787
7  2  7  0.001587  -0.292227
7  2  8  0.00154  -0.101556
7  2  9  0.001596  -0.17961
7  2  10  0.001542  -0.1259
7  2  11  0.001602  -0.298263
7  2  12  0.001545  -0.271859
7  2  13  0.001611  -0.495785
7  2  14  0.001548  -0.484533
7  2  15  0.001587  -0.44439
7  2  16  0.001548  -0.298978
7  2  17  0.00157  -0.484719
7  2  18  0.001542  -0.333255
7  2  19  0.00156  -0.331928
7  2  20  0.00155  -0.406062
7  2  21  0.001568  -0.267667
7  2  22  0.001546  -0.384474
7  2  23  0.001563  -0.325726
7  2  24  0.001541  -0.494404
7  2  25  0.001563  -0.244663
7  2  26  0.00154  -0.324715
7  2  27  0.001556  -0.344177
7  2  28  0.00154  -0.340712
7  2  29  0.001558  -0.417968
7  2  30  0.001546  -0.33064
7  2  31  0.001592  -0.329819
8  0  0  0.000876  -1.52174
8  0  1  0.000867  -1.50327
8  0  2  0.000858  -1.57325
8  0  3  0.000782  -1.46972
8  0  4  0.0009  -1.71206
8  0  5  0.000838  -1.46364
8  0  6  0.000881  -1.57493
8  0  7  0.000878  -1.54039
8  0  8  0.000797  -1.46741
8  0  9  0.00085  -1.45439
8  0  10  0.000881  -1.53091
8  0  11  0.000851  -1.52851
8  0  12  0.000905  -1.60396
8  0  13  0.000847  -1.59579
8  0  14  0.000852  -1.54073
8  0  15  0.001056  -2.00077
8  0  16  0.000908  -1.72596
8  0  17  0.000853  -1.57295
8  0  18  0.000896  -1.61292
8  0  19  0.00086  -1.6166
8  0  20  0.000847  -1.6302
8  0  21  0.000999  -1.87999
8  0  22  0.000904  -1.70531
8  0  23  0.000874  -1.71318
8  0  24  0.000815  -1.47562
8  0  25  0.000866  -1.61636
8  0  26  0.00087  -1.61843
8  0  27  0.000839  -1.60983
8  0  28  0.000842  -1.55601
8  0  29  0.000858  -1.6372
8  0  30  0.000878  -1.57078
8  0  31  0.001009  -1.89681
8  1  0  0.001452  -0.012451
8  1  1  0.001446  0.182739
8  1  2  0.001445  -0.012672
8  1  3  0.001453  -0.053769
8  1  4  0.001452  -0.026452
8  1  5  0.001448  0.09321
8  1  6  0.001461  -0.062541
8  1  7  0.00145  0.097596
8  1  8  0.001451  0.103842
8  1  9  0.001454  0.17806
8  1  10  0.001451  0.084724
8  1  11  0.001452  0.122587
8  1  12  0.001449  -0.010322
8  1  13  0.00145  0.142221
8  1  14  0.001449  -0.054283
8  1  15  0.00145  0.171994
8  1  16  0.001459  -0.126088
8  1  17  0.001448  -0.083421
8  1  18  0.001452  -0.090532
8  1  19  0.001447  -0.024309
8  1  20  0.001452  0.023269
8  1  21  0.001452  0.117591
8  1  22  0.001455  0.008383
8  1  23  0.001446  0.142343
8  1  24  0.001453  -0.056773
8  1  25  0.00145  0.086514
8  1  26  0.001452  -0.053571
8  1  27  0.001449  -0.126018
8  1  28  0.001456  0.046662
8  1  29  0.001455  0.144608
8  1  30  0.001452  0.093037
8  1  31  0.001449  0.092089
8  2  0  0.001436  -0.438493
8  2  1  0.001463  -0.418265
8  2  2  0.001437  -0.520284
8  2  3  0.001467  -0.452191
8  2  4  0.001414  -0.428801
8  2  5  0.001456  -0.493849
8  2  6  0.001425  -0.420122
8  2  7  0.00146  -0.324259
8  2  8  0.001445  -0.40423
8  2  9  0.001461  -0.504157
8  2  10  0.003265  -7.6888
8  2  11  0.001465  -0.419768
8  2  12  0.001428  -0.405596
8  2  13  0.001466  -0.314149
8  2  14  0.001454  -0.542097
8  2  15  0.001466  -0.125635
8  2  16  0.001432  -0.414116
8  2  17  0.001463  -0.17818
