#Tele  #Face  #Strip  #slope  #offset
5  2  7  0.001476  -0.204771
5  2  8  0.001457  0.090072
5  2  9  0.00147  0.135636
5  2  10  1  0
5  2  11  0.001467  -0.151249
5  2  12  0.001463  -0.024832
5  2  13  0.001482  -0.105129
5  2  14  0.001476  -0.05208
5  2  15  0.001471  0.109854
5  2  16  0.00147  0.030241
5  2  17  0.001477  -0.154696
5  2  18  1  0
5  2  19  0.001477  -0.241373
5  2  20  0.001459  -0.041415
5  2  21  0.001464  -0.10702
5  2  22  1  0
5  2  23  0.001467  -0.122796
5  2  24  0.00144  -0.217192
5  2  25  0.001465  -0.092286
5  2  26  0.001454  0.076492
5  2  27  0.00147  -0.10479
5  2  28  0.001456  0.01965
5  2  29  0.001469  -0.147289
5  2  30  0.001458  0.073243
5  2  31  0.001452  -0.253671
6  0  0  0.000861  -1.32043
6  0  1  0.000875  -1.29199
6  0  2  0.000838  -1.22791
6  0  3  0.000861  -1.35084
6  0  4  0.000886  -1.22981
6  0  5  0.000844  -1.21564
6  0  6  0.000824  -1.16887
6  0  7  0.000843  -1.25214
6  0  8  0.000854  -1.25253
6  0  9  0.000909  -1.34158
6  0  10  0.000892  -1.31695
6  0  11  0.000876  -1.33753
6  0  12  0.00089  -1.39911
6  0  13  0.000895  -1.23992
6  0  14  0.000855  -1.32403
6  0  15  0.000779  -1.17909
6  0  16  0.000877  -1.41115
6  0  17  0.000882  -1.3037
6  0  18  0.000903  -1.31708
6  0  19  0.000873  -1.2878
6  0  20  0.000864  -1.30773
6  0  21  0.000864  -1.23466
6  0  22  0.000853  -1.25488
6  0  23  0.000807  -1.20311
6  0  24  0.000836  -1.22911
6  0  25  0.0009  -1.36871
6  0  26  0.000872  -1.25579
6  0  27  0.000864  -1.28368
6  0  28  0.000831  -1.24781
6  0  29  0.000855  -1.24672
6  0  30  0.00088  -1.28504
6  0  31  0.000891  -1.24827
6  1  0  1  0
6  1  1  0.001432  0.249487
6  1  2  0.001453  0.119568
6  1  3  0.001448  0.22497
6  1  4  0.001464  0.10132
6  1  5  0.001455  0.153765
6  1  6  0.001449  0.184537
6  1  7  0.00145  0.089061
6  1  8  0.00145  0.196804
6  1  9  0.001454  0.203059
6  1  10  0.001461  0.078171
6  1  11  0.001446  0.173059
6  1  12  0.001449  -0.081325
6  1  13  0.001461  0.202637
6  1  14  0.00146  0.168742
6  1  15  0.001468  0.325125
6  1  16  0.001461  0.211093
6  1  17  0.001461  0.073384
6  1  18  0.001475  0.218883
6  1  19  0.00147  0.275322
6  1  20  0.001458  0.165181
6  1  21  0.001457  0.082196
6  1  22  0.001464  -0.016025
6  1  23  0.001474  0.229906
6  1  24  0.001457  0.158912
6  1  25  0.001465  0.18305
6  1  26  0.001452  0.247407
6  1  27  0.001457  0.018515
6  1  28  0.001454  0.164136
6  1  29  0.001461  0.13242
6  1  30  0.001452  0.204861
6  1  31  0.001466  0.200138
6  2  0  0.001446  -0.274952
6  2  1  0.001467  -0.636824
6  2  2  0.001481  -0.450394
6  2  3  0.001474  -0.474817
6  2  4  0.001487  -0.432809
6  2  5  0.001482  -0.539459
6  2  6  0.001487  -0.243874
6  2  7  0.001488  -0.576793
6  2  8  0.003393  -7.58116
6  2  9  0.001484  -0.820414
6  2  10  0.001483  -0.124141
6  2  11  0.0015  -0.851639
6  2  12  0.001485  -0.359001
6  2  13  0.00149  -0.653632
6  2  14  0.001496  -0.401052
6  2  15  0.00151  -0.663007
6  2  16  0.001505  -0.537467
6  2  17  0.001526  -0.800173
6  2  18  0.001491  -0.608905
6  2  19  0.001522  -0.416641
6  2  20  0.001492  -0.362491
6  2  21  0.00152  -0.550332
6  2  22  0.001484  -0.355159
6  2  23  0.001524  -0.760574
6  2  24  0.00149  -0.462859
6  2  25  0.001513  -0.818938
6  2  26  0.001495  -0.515051
6  2  27  0.001515  -0.595044
6  2  28  0.001475  -0.353118
6  2  29  0.001509  -0.800576
6  2  30  0.001488  -0.26163
6  2  31  0.001511  -0.747356
7  0  0  0.000899  -1.71345
7  0  1  0.000879  -1.63716
7  0  2  0.000881  -1.6507
7  0  3  0.000837  -1.5334
7  0  4  0.000904  -1.71829
7  0  5  0.000854  -1.65435
7  0  6  0.000898  -1.64778
7  0  7  0.000876  -1.63785
7  0  8  0.000843  -1.66033
7  0  9  0.000855  -1.62537
7  0  10  0.000791  -1.50512
7  0  11  0.000885  -1.65051
7  0  12  0.000848  -1.52802
7  0  13  0.000882  -1.75042
7  0  14  0.000915  -1.70694
7  0  15  0.000889  -1.7209
7  0  16  0.000873  -1.60508
7  0  17  0.000866  -1.60829
7  0  18  0.000878  -1.53051
7  0  19  0.000837  -1.58546
7  0  20  0.000796  -1.4706
7  0  21  0.000886  -1.63838
7  0  22  0.000893  -1.70299
7  0  23  0.000876  -1.6219
7  0  24  0.000795  -1.44114
7  0  25  0.000823  -1.54232
7  0  26  0.000861  -1.65005
